"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.3.10.101","10.3.10.1","DNS","89","Standard query 0x923a A hftook7lmaroutsg1.duckdns.org"
"2","0.061384","10.3.10.1","10.3.10.101","DNS","105","Standard query response 0x923a A hftook7lmaroutsg1.duckdns.org A 206.123.152.51"
"3","0.065974","10.3.10.101","206.123.152.51","TCP","66","50507  >  3980 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"4","0.297309","206.123.152.51","10.3.10.101","TCP","58","3980  >  50507 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"5","0.297593","10.3.10.101","206.123.152.51","TCP","54","50507  >  3980 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"6","0.298178","10.3.10.101","206.123.152.51","TCP","744","50507  >  3980 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=690"
"7","0.298279","206.123.152.51","10.3.10.101","TCP","54","3980  >  50507 [ACK] Seq=1 Ack=691 Win=64240 Len=0"
"8","0.635488","206.123.152.51","10.3.10.101","TCP","74","3980  >  50507 [PSH, ACK] Seq=1 Ack=691 Win=64240 Len=20"
"9","0.636373","10.3.10.101","206.123.152.51","TCP","123","50507  >  3980 [PSH, ACK] Seq=691 Ack=21 Win=65515 Len=69"
"10","0.636411","206.123.152.51","10.3.10.101","TCP","54","3980  >  50507 [ACK] Seq=21 Ack=760 Win=64240 Len=0"
"11","0.942809","206.123.152.51","10.3.10.101","TCP","93","3980  >  50507 [PSH, ACK] Seq=21 Ack=760 Win=64240 Len=39"
"12","0.944087","10.3.10.101","206.123.152.51","TCP","66","50508  >  3980 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"13","0.983044","10.3.10.101","206.123.152.51","TCP","54","50507  >  3980 [ACK] Seq=760 Ack=60 Win=65476 Len=0"
"14","0.999958","10.3.10.101","10.3.10.1","DNS","73","Standard query 0xb89d A geoplugin.net"
"15","1.001073","10.3.10.1","10.3.10.101","DNS","89","Standard query response 0xb89d A geoplugin.net A 178.237.33.50"
"16","1.003584","10.3.10.101","178.237.33.50","TCP","66","50509  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"17","1.151796","178.237.33.50","10.3.10.101","TCP","58","80  >  50509 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"18","1.152131","10.3.10.101","178.237.33.50","TCP","54","50509  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"19","1.152434","10.3.10.101","178.237.33.50","HTTP","125","GET /json.gp HTTP/1.1 "
"20","1.152496","178.237.33.50","10.3.10.101","TCP","54","80  >  50509 [ACK] Seq=1 Ack=72 Win=64240 Len=0"
"21","1.191962","206.123.152.51","10.3.10.101","TCP","58","3980  >  50508 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"22","1.192309","10.3.10.101","206.123.152.51","TCP","54","50508  >  3980 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"23","1.192555","10.3.10.101","206.123.152.51","TCP","81","50508  >  3980 [PSH, ACK] Seq=1 Ack=1 Win=65535 Len=27"
"24","1.192648","206.123.152.51","10.3.10.101","TCP","54","3980  >  50508 [ACK] Seq=1 Ack=28 Win=64240 Len=0"
"25","1.306145","178.237.33.50","10.3.10.101","HTTP/JSON","1223","HTTP/1.1 200 OK , JSON (application/json)"
"26","1.306377","10.3.10.101","178.237.33.50","TCP","54","50509  >  80 [ACK] Seq=72 Ack=1170 Win=65535 Len=0"
"27","1.311023","10.3.10.101","206.123.152.51","TCP","1027","50507  >  3980 [PSH, ACK] Seq=760 Ack=60 Win=65476 Len=973"
"28","1.311109","206.123.152.51","10.3.10.101","TCP","54","3980  >  50507 [ACK] Seq=60 Ack=1733 Win=64240 Len=0"
"29","1.447214","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=1 Ack=28 Win=64240 Len=1460"
"30","1.447223","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=1461 Ack=28 Win=64240 Len=1460"
"31","1.447229","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=2921 Ack=28 Win=64240 Len=1460"
"32","1.447235","206.123.152.51","10.3.10.101","TCP","1058","3980  >  50508 [PSH, ACK] Seq=4381 Ack=28 Win=64240 Len=1004"
"33","1.447430","10.3.10.101","206.123.152.51","TCP","54","50508  >  3980 [ACK] Seq=28 Ack=5385 Win=65535 Len=0"
"34","1.691695","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=5385 Ack=28 Win=64240 Len=1460"
"35","1.691731","206.123.152.51","10.3.10.101","TCP","1286","3980  >  50508 [PSH, ACK] Seq=6845 Ack=28 Win=64240 Len=1232"
"36","1.691782","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=8077 Ack=28 Win=64240 Len=1460"
"37","1.691796","206.123.152.51","10.3.10.101","TCP","1286","3980  >  50508 [PSH, ACK] Seq=9537 Ack=28 Win=64240 Len=1232"
"38","1.691884","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=10769 Ack=28 Win=64240 Len=1460"
"39","1.691897","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=12229 Ack=28 Win=64240 Len=1460"
"40","1.691906","206.123.152.51","10.3.10.101","TCP","1172","3980  >  50508 [PSH, ACK] Seq=13689 Ack=28 Win=64240 Len=1118"
"41","1.692004","10.3.10.101","206.123.152.51","TCP","54","50508  >  3980 [ACK] Seq=28 Ack=10769 Win=65535 Len=0"
"42","1.692115","206.123.152.51","10.3.10.101","TCP","1400","3980  >  50508 [PSH, ACK] Seq=14807 Ack=28 Win=64240 Len=1346"
"43","1.692176","10.3.10.101","206.123.152.51","TCP","54","50508  >  3980 [ACK] Seq=28 Ack=14807 Win=65535 Len=0"
"44","1.692349","10.3.10.101","206.123.152.51","TCP","54","50508  >  3980 [ACK] Seq=28 Ack=16153 Win=64189 Len=0"
"45","1.936980","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=16153 Ack=28 Win=64240 Len=1460"
"46","1.937000","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=17613 Ack=28 Win=64240 Len=1460"
"47","1.937015","206.123.152.51","10.3.10.101","TCP","1172","3980  >  50508 [PSH, ACK] Seq=19073 Ack=28 Win=64240 Len=1118"
"48","1.937455","10.3.10.101","206.123.152.51","TCP","54","50508  >  3980 [ACK] Seq=28 Ack=20191 Win=65535 Len=0"
"49","1.940425","206.123.152.51","10.3.10.101","TCP","1400","3980  >  50508 [PSH, ACK] Seq=20191 Ack=28 Win=64240 Len=1346"
"50","1.940542","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=21537 Ack=28 Win=64240 Len=1460"
"51","1.940556","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=22997 Ack=28 Win=64240 Len=1460"
"52","1.940570","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=24457 Ack=28 Win=64240 Len=1460"
"53","1.940583","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=25917 Ack=28 Win=64240 Len=1460"
"54","1.940595","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=27377 Ack=28 Win=64240 Len=1460"
"55","1.940604","206.123.152.51","10.3.10.101","TCP","830","3980  >  50508 [PSH, ACK] Seq=28837 Ack=28 Win=64240 Len=776"
"56","1.940731","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=29613 Ack=28 Win=64240 Len=1460"
"57","1.940743","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=31073 Ack=28 Win=64240 Len=1460"
"58","1.940752","206.123.152.51","10.3.10.101","TCP","1172","3980  >  50508 [PSH, ACK] Seq=32533 Ack=28 Win=64240 Len=1118"
"59","1.940822","10.3.10.101","206.123.152.51","TCP","54","50508  >  3980 [ACK] Seq=28 Ack=29613 Win=65535 Len=0"
"60","1.941005","10.3.10.101","206.123.152.51","TCP","54","50508  >  3980 [ACK] Seq=28 Ack=33651 Win=65535 Len=0"
"61","1.946110","206.123.152.51","10.3.10.101","TCP","1400","3980  >  50508 [PSH, ACK] Seq=33651 Ack=28 Win=64240 Len=1346"
"62","1.946382","10.3.10.101","206.123.152.51","TCP","54","50508  >  3980 [ACK] Seq=28 Ack=34997 Win=64189 Len=0"
"63","2.032866","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=34997 Ack=28 Win=64240 Len=1460"
"64","2.032901","206.123.152.51","10.3.10.101","TCP","1286","3980  >  50508 [PSH, ACK] Seq=36457 Ack=28 Win=64240 Len=1232"
"65","2.033115","10.3.10.101","206.123.152.51","TCP","54","50508  >  3980 [ACK] Seq=28 Ack=37689 Win=65535 Len=0"
"66","2.172359","206.123.152.51","10.3.10.101","TCP","1400","3980  >  50508 [PSH, ACK] Seq=37689 Ack=28 Win=64240 Len=1346"
"67","2.179841","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=39035 Ack=28 Win=64240 Len=1460"
"68","2.179851","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=40495 Ack=28 Win=64240 Len=1460"
"69","2.179856","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=41955 Ack=28 Win=64240 Len=1460"
"70","2.179861","206.123.152.51","10.3.10.101","TCP","1058","3980  >  50508 [PSH, ACK] Seq=43415 Ack=28 Win=64240 Len=1004"
"71","2.180040","10.3.10.101","206.123.152.51","TCP","54","50508  >  3980 [ACK] Seq=28 Ack=44419 Win=65535 Len=0"
"72","2.180392","206.123.152.51","10.3.10.101","TCP","1400","3980  >  50508 [PSH, ACK] Seq=44419 Ack=28 Win=64240 Len=1346"
"73","2.180560","10.3.10.101","206.123.152.51","TCP","54","50508  >  3980 [ACK] Seq=28 Ack=45765 Win=64189 Len=0"
"74","2.180646","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=45765 Ack=28 Win=64240 Len=1460"
"75","2.180654","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=47225 Ack=28 Win=64240 Len=1460"
"76","2.180659","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=48685 Ack=28 Win=64240 Len=1460"
"77","2.180663","206.123.152.51","10.3.10.101","TCP","1514","3980  >  50508 [ACK] Seq=50145 Ack=28 Win=64240 Len=1460"
